Annee;CODE_PAYS;contrib_ue
2014;BE;3660193207,00
2014;BG;403852252,00
2014;CZ;1308750178,00
2014;DK;2213416473,00
2014;DE;25815942005,00
2014;EE;178236817,00
2014;IE;1425058724,00
2014;EL;1826598955,00
2014;ES;9978062241,00
2014;FR;19573583115,00
2014;HR;387200000,00
2014;IT;14368195300,00
2014;CY;142813292,00
2014;LV;244106803,00
2014;LT;320391313,00
2014;LU;232127618,00
2014;HU;890310380,00
2014;MT;65673565,00
2014;NL;6390973094,00
2014;AT;2690941034,00
2014;PL;3526481403,00
2014;PT;1636914601,00
2014;RO;1353124878,00
2014;SI;326756755,00
2014;SK;625119522,00
2014;FI;1777233965,00
2014;SE;3828157444,00
2014;UK;11341593563,00
2016;AT;3063608294,00
2016;BE;5518820494,00
2016;BG;448986338,00
2016;HR;441542476,00
2016;CY;170256974,00
2016;CZ;1588800088,00
2016;DK;2818568593,00
2016;EE;215807544,00
2016;FI;1982317352,00
2016;FR;21829364332,00
2016;DE;30112664454,00
2016;EL;1770510353,00
2016;HU;1114166212,00
2016;IE;1775755124,00
2016;IT;15939376943,00
2016;LV;257001633,00
2016;LT;413707866,00
2016;LU;311107369,00
2016;MT;88791390,00
2016;NL;7979483456,00
2016;PL;4487526911,00
2016;PT;1745263183,00
2016;RO;1554498319,00
2016;SK;777915091,00
2016;SI;412634839,00
2016;ES;11270126465,00
2016;SE;4376697908,00
2016;UK;19803294110,00
2015;BE;3691921065,00
2015;BG;424121346,00
2015;CZ;1315163673,00
2015;DK;2190626944,00
2015;DE;24283418757,00
2015;EE;184758320,00
2015;IE;1558418693,00
2015;EL;1205600048,00
2015;ES;8772460650,00
2015;FR;19012511928,00
2015;HR;356791026,00
2015;IT;14231567785,00
2015;CY;211880976,00
2015;LV;205889929,00
2015;LT;315836195,00
2015;LU;350279490,00
2015;HU;945776394,00
2015;MT;92312277,00
2015;NL;5759219579,00
2015;AT;2529246465,00
2015;PL;3717992884,00
2015;PT;1528702677,00
2015;RO;1319374480,00
2015;SI;340694055,00
2015;SK;607937146,00
2015;FI;1729053488,00
2015;SE;3513344725,00
2015;UK;18209420744,00
