"level";"TRI";"CD_ACTION_TYPE";"CODE_ACTION";"LB_ACTION_TYPE"
"2";"HB";"SGA-RIA";"SB";"Research and Innovation action"
"2";"CA";"CSA-LS";"DA";"Lump sum"
"2";"OA";"JTI-SESAR-RIA";"VB";"Research and Innovation action"
"1";"O";"JTI-SESAR";"V";"Single European Sky Air Traffic Management Research"
"1";"S";"PCP";"X";"Pre-Commercial Procurement"
"1";"R";"PPI";"Y";"Public Procurement of Innovative solutions"
"2";"OC";"JTI-SESAR-CSA";"VC";"Coordination and Support Action"
"2";"OB";"JTI-SESAR-IA";"VA";"Innovation action"
"1";"P";"JTI-Shift2Rail";"W";"Shift2Rail"
"2";"PC";"JTI-Shift2Rail-CSA";"WC";"Coordination and Support action"
"2";"PB";"JTI-Shift2Rail-IA";"WA";"Innovation action"
"2";"PA";"JTI-Shift2Rail-RIA";"WB";"Research and Innovation action"
"3";"EBD";"MSCA-IF-EF-SE";"OBD";"European Fellowships - Society and Enterprise panel"
"1";"Q";"H2020-EEN-SGA";"Z";"Enterprise Europe Network"
"1";"J";"JTI-BBI";"A";"JTI Bio-based Industries"
"2";"JD";"JTI-BBI-CSA";"AD";"Coordination and Support action"
"2";"JB";"JTI-BBI-IA-DEMO";"AA";"Innovation action - Demonstration"
"2";"JC";"JTI-BBI-IA-FLAG";"AB";"Innovation action - Flagship"
"2";"JA";"JTI-BBI-RIA";"AC";"Research and Innovation action"
"2";"FB";"COFUND-EJP";"BB";"European Joint Programme"
"2";"FC";"COFUND-PCP";"BC";"Pre-Commercial Procurement"
"2";"FD";"COFUND-PPI";"BD";"Public Procurement of Innovative Solutions"
"1";"K";"JTI-CS2";"C";"JTI Clean Sky 2"
"2";"KC";"JTI-CS2-CSA";"CC";"Coordination and support action"
"2";"KB";"JTI-CS2-IA";"CA";"Innovation action"
"2";"KA";"JTI-CS2-RIA";"CB";"Research and Innovation action"
"1";"C";"CSA";"D";"Coordination and support action"
"1";"W";"Debt";"E";"Debt and equity facility"
"1";"L";"JTI-ECSEL";"F";"JTI Electronic Components and Systems for European Leadership"
"2";"LC";"JTI-ECSEL-CSA";"FC";"Coordination & Support action"
"2";"LB";"JTI-ECSEL-IA";"FA";"Innovation Action"
"2";"LA";"JTI-ECSEL-RIA";"FB";"Research and Innovation Action"
"2";"FA";"ERA-NET-Cofund";"BA";"ERA-NET Cofund"
"1";"D";"ERC";"H";"Support for frontier research"
"2";"DA";"ERC-ADG";"HA";"Advanced Grant"
"2";"DB";"ERC-COG";"HB";"Consolidator Grant"
"2";"DC";"ERC-LVG";"HC";"Low Value grant"
"2";"DD";"ERC-POC";"HD";"Proof of Concept Grant"
"2";"DE";"ERC-STG";"HE";"Starting Grant"
"2";"DF";"ERC-SyG";"HF";"Synergy grant"
"1";"M";"JTI-FCH2";"I";"FCH2 JU actions"
"2";"MC";"JTI-FCH2-CSA";"IC";"Coordination and support action"
"2";"MB";"JTI-FCH2-IA";"IA";"Innovation action"
"2";"MA";"JTI-FCH2-RIA";"IB";"Research and Innovation action"
"1";"I";"FPA";"J";"Framework Partnership Agreement"
"2";"IA";"FPA-SGA";"JA";"Combined Framework Partnership Agreement and Specific Grant Agreement"
"2";"IB";"FPA-SGA-CSA";"JB";"Framework Partnership Agreement and Coordination and Support Action funded by a specific grant awarded under the Framework Partnership Agreement"
"1";"B";"IA";"K";"Innovation action"
"1";"N";"JTI-IMI2";"L";"JTI Innovative Medicines Initiative"
"2";"ND";"JTI-IMI2-CSA";"LC";"Coordination & support action"
"2";"NC";"JTI-IMI2-IA";"LA";"Innovation action"
"2";"NB";"JTI-IMI2-RIA";"LB";"Research and Innovation action"
"1";"V";"IPr";"M";"Inducement Prize"
"1";"Z";"KICS";"N";"Kics"
"1";"E";"MSCA";"O";"Marie Sklodowska-Curie actions"
"2";"EA";"MSCA-COFUND";"OA";"Co-funding of regional, national and international programmes"
"3";"EAA";"MSCA-COFUND-DP";"OAA";"Doctoral programmes"
"3";"EAB";"MSCA-COFUND-FP";"OAB";"Fellowship programmes"
"2";"EB";"MSCA-IF";"OB";"Marie Sklodowska-Curie Individual Fellowships"
"3";"EBA";"MSCA-IF-EF";"OBA";"European Fellowships"
"3";"EBB";"MSCA-IF-EF-CAR";"OBB";"European Fellowships - Career Restart panel"
"3";"EBC";"MSCA-IF-EF-RI";"OBC";"European Fellowships - Reintegration panel"
"3";"EBE";"MSCA-IF-EF-ST";"OBE";"Standard European Fellowships"
"3";"EBF";"MSCA-IF-GF";"OBF";"Global Fellowships"
"2";"EC";"MSCA-ITN";"OC";"Marie Sklodowska-Curie Innovative Training Networks"
"3";"ECC";"MSCA-ITN-EID";"OCC";"European Industrial Doctorates"
"3";"ECA";"MSCA-ITN-EJD";"OCA";"European Joint Doctorates"
"3";"ECB";"MSCA-ITN-ETN";"OCB";"Training Networks"
"2";"ED";"MSCA-RISE";"OD";"Research and Innovation Staff Exchange"
"1";"U";"RFCS";"P";"Research Fund for Coal and Steel"
"1";"A";"RIA";"Q";"Research and Innovation action"
"1";"T";"RPr";"R";"Recognition Prize"
"1";"G";"SME";"T";"SME instrument"
"2";"GA";"SME-1";"TA";"SME instrument phase 1"
"2";"GB";"SME-2";"TB";"SME instrument phase 2"
"1";"F";"COFUND";"B";"Co-funding of regional, national and international programmes"
"2";"HA";"SGA-CSA";"SA";"Coordination and Support Action"
"1";"H";"SGA";"S";"Specific Grant agreement"
"2";"BA";"IA-LS";"KA";"Innovation action Lump Sum"
"2";"AB";"RIA-LS";"QA";"Research and Innovation action Lump Sum"
"3";"PAA";"JTI-Shift2Rail-RIA-LS";"WBA";"Research and Innovation Action Lump-Sum"
"3";"PBA";"JTI-Shift2Rail-IA-LS";"WAA";"Innovation Action Lump-Sum"
"2";"EE";"MSCA-SNLS";"OE";"Grant to identified beneficiary - Coordination and support actions (MSCA-Special Needs lump sum)"
"3";"DDD";"ERC-POC-LS";"HDA";"ERC Proof of Concept Lump Sum Pilot"
"1";"II";"EuroHPC";"G";"EuroHPC"
"3";"IIB";"EuroHPC-CSA";"GB";"EuroHPC-CSA"
"3";"IIA";"EuroHPC-RIA";"GA";"EuroHPC-RIA"
"2";"GC";"SME-2b";"TC";"SME Instrument (grant only and blended finance)"
"2";"CB";"CSA-LSP";"DB";"Coordination and support action Lump sum"
"3";"IIC";"EuroHPC-IA";"GC";"EuroHPC-IA"
